serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
11,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
12,22,DEC-14,Kolkata,22-29,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,3,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
13,22,DEC-14,Kolkata,22-29,Female,Unemployed,Rs. 1 lakh or less,5 and more,Below Graduate,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
14,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
15,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Less than current year
16,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Decreased,Decrease,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
17,22,DEC-14,Kolkata,30-39,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
18,22,DEC-14,Kolkata,22-29,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go down,More than last year,NA
19,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go down,More than last year,NA
20,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,2,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
21,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Decreased,Decrease,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
22,22,DEC-14,Kolkata,40-59,Male,Employed,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Increase,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
23,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
24,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
25,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Worsen,Difficult to say,Will be worsen,Remained the same,Decrease,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
26,22,DEC-14,Hyderabad,22-29,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
27,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,2,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
28,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Graduate & above,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,Same as last year,More than current year
29,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Worsen,Difficult to say,Will be worsen,Remained the same,Remain the same,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
30,22,DEC-14,Hyderabad,22-29,Male,Daily Worker,Rs. 1 - 3 lakhs,5 and more,Graduate & above,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
31,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
32,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
33,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Below Graduate,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
34,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
35,22,DEC-14,Kolkata,22-29,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,3,Improved,Will Improve,Somewhat better off,Will be better off,Decreased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
36,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,3,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
37,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Decreased,Decrease,Increased,Increase,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
38,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
39,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Increased,Increase,Increased,Increase,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
40,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
41,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
42,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
43,22,DEC-14,Kolkata,40-59,Female,Employed,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
44,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
45,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
46,22,DEC-14,Kolkata,22-29,Female,Unemployed,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Improve,Difficult to say,Will be worsen,Decreased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
47,22,DEC-14,Hyderabad,22-29,Male,Daily Worker,Rs. 1 - 3 lakhs,5 and more,Below Graduate,3,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
48,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
49,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
50,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
51,22,DEC-14,Kolkata,22-29,Female,Unemployed,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go down,More than last year,NA
52,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
53,22,DEC-14,Kolkata,30-39,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
54,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
55,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
56,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
57,22,DEC-14,Hyderabad,22-29,Male,Employed,Rs. 3 - 5 lakhs,5 and more,Graduate & above,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
58,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,3,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
59,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,Same as current year
60,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
61,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Worsen,Somewhat better off,Will be worsen,Decreased,Decrease,Increased,Neither increase nor decrease,Improved,Will worsen,Gone up,Will remain almost unchanged,More than last year,NA
62,22,DEC-14,Kolkata,22-29,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Graduate & above,2,Remained the same,Will Worsen,Difficult to say,Will Remain the Same,Decreased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,Same as last year,Less than current year
63,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Decreased,Increase,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
64,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,3,Worsen,Will Worsen,Difficult to say,Will Remain the Same,Decreased,Decrease,Increased,Increase,Remained the same,Will worsen,Gone up,Will go up,More than last year,More than current year
65,22,DEC-14,Kolkata,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Worsen,Difficult to say,Will Remain the Same,Decreased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
66,22,DEC-14,Kolkata,40-59,Male,Employed,Rs. 1 lakh or less,1 or 2,Graduate & above,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Neither increase nor decrease,Improved,Will improve,Gone down,Will go down,NA,NA
67,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,Same as last year,More than current year
68,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Graduate & above,1,Improved,Will Worsen,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
69,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Worsen,Difficult to say,Will be worsen,Remained the same,Remain the same,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
70,22,DEC-14,Kolkata,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,1 or 2,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will be worsen,Increased,Remain the same,Increased,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
71,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Worsen,Somewhat worse off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
72,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Worsen,Somewhat better off,Will Remain the Same,Remained the same,Increase,Remained the same,Increase,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
73,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will worsen,Remained almost unchanged,Will go up,NA,More than current year
74,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat worse off,Will Remain the Same,Decreased,Decrease,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
75,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
76,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Graduate & above,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Remained the same,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
77,22,DEC-14,Kolkata,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Difficult to say,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
78,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Remain the same,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
79,22,DEC-14,Kolkata,30-39,Male,Employed,Rs. 1 - 3 lakhs,1 or 2,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
80,22,DEC-14,Chennai,22-29,Male,Unemployed,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
81,22,DEC-14,Chennai,40-59,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Worsen,Will Improve,Somewhat worse off,Will be worsen,Decreased,Increase,Remained the same,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
82,22,DEC-14,Chennai,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,5 and more,Below Graduate,2,Remained the same,Will Improve,Difficult to say,Will be worsen,Remained the same,Remain the same,Increased,Increase,Remained the same,Will improve,Gone up,Will go down,Less than last year,NA
83,22,DEC-14,Chennai,60 & above,Male,Retired/Pensioner,Rs. 3 - 5 lakhs,5 and more,Graduate & above,2,Worsen,Will Remain the Same,Somewhat worse off,Will be worsen,Increased,Increase,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
84,22,DEC-14,Chennai,30-39,Female,Employed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
85,22,DEC-14,Chennai,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Decreased,Decrease,Improved,Will improve,Gone up,Will go down,Less than last year,NA
86,22,DEC-14,Chennai,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,1,Improved,Will Remain the Same,Somewhat better off,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
87,22,DEC-14,Chennai,60 & above,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,2,Worsen,Will Improve,Somewhat worse off,Will be better off,Increased,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will worsen,Gone up,Will go up,More than last year,Less than current year
88,22,DEC-14,Chennai,22-29,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
89,22,DEC-14,Chennai,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Difficult to say,Will Remain the Same,Increased,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Remained almost unchanged,Will go up,NA,More than current year
90,22,DEC-14,Chennai,60 & above,Female,House wife,Rs. 1 - 3 lakhs,1 or 2,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Decreased,Decrease,Worsen,Will improve,Gone up,Will go down,More than last year,NA
91,22,DEC-14,Kolkata,40-59,Female,Employed,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Worsen,Difficult to say,Will be worsen,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
92,22,DEC-14,Kolkata,60 & above,Male,Retired/Pensioner,Rs. 1 - 3 lakhs,5 and more,Graduate & above,2,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Remain the same,Remained the same,Increase,Worsen,Will worsen,Remained almost unchanged,Will go up,NA,Same as current year
93,22,DEC-14,Kolkata,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Remained the same,Will Worsen,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,Same as current year
94,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,1 or 2,Below Graduate,1,Remained the same,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will remain almost unchanged,Same as last year,NA
95,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 5 lakhs or more,5 and more,Below Graduate,3,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
96,22,DEC-14,Kolkata,60 & above,Female,Employed,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,3,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Decreased,Decrease,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
